id,region,policy,
6,대구,"무장애도시 환경조성사업: 유니버설 디자인 확산, 장애물 없는 도로·공원.",
6,대구,생애주기 가족돌봄 지원: 아동~노인까지 가족 단위 돌봄.,
7,대전,청년예술인 합창단: 젊은 예술인 지원 및 공연예술 인큐베이터 역할.,
7,대전,"대전형 에듀테크 학교: AI 기반 학습 플랫폼 도입, 정보 교육 혁신.",
7,대전,"스마트헬스 타운: 첨단 헬스케어 복합 단지, 시민 건강 데이터 기반 관리.",
7,대전,구도심 상권활성화 프로젝트: 상가 매입·리모델링 및 임차인 지원으로 지역 경제 활성화.,
7,대전,우주로 가는 청소년 진로캠프: 항공우주·과학진로 체험교육.,
7,대전,바이오헬스 융합연구단지 신설: 대학·기업·병원 네트워크 구축.,
8,부산,청년 주택리모델링 지원: 노후 주택을 리모델링해 청년 주거 안정 지원.,
8,부산,"해양쓰레기 제로화 프로젝트: 해양 오염 방지, 어업 환경 개선.",
8,부산,AI도시 실현 프로젝트: AI·빅데이터·클라우드 활용 디지털 산업 경쟁력 강화.,
8,부산,"친환경 수소버스 도입: 공공버스 저공해로 전환, 온실가스 감축.",
8,부산,노인 스마트헬스케어: 치매 예방·조기 감지 기술 보급으로 노년층 건강 복지 강화.,
8,부산,친환경해양산업 창업펀드: 해양바이오·친환경 스타트업 육성으로 지역 신산업 생태계 조성.,
8,부산,반려동물 복지센터 확대: 유기동물 보호 및 책임 돌봄 서비스.,
8,부산,"광안대교 스마트톨링: 자동화 요금 시스템, 장애인·노인 무료 이용.",
8,부산,노후주택 리모델링 지원: 저소득층 리모델링 비용 지원.,
9,서울,역세권 청년·신혼부부용 청년안심주택: 역세권에 저렴한 임대주택을 공급해 젊은층 주거안정 지원.,"온산 산업벨트: 수소·조선 등 친환경 산업단지 확충, 미래산업 유치."
9,서울,제로웨이스트 시범거리: 쓰레기 발생 최소화 거리 조성으로 생활폐기물 30% 감축 목표.,
9,서울,취약가구 에너지 바우처 확대: 저소득층 난방·냉방비 지원으로 에너지 복지 강화.,
9,서울,"도시숲 조성사업: 도시 공원·녹지 확대, 미세먼지 저감 및 휴게 공간 제공.",
9,서울,재난약자 안전모니터링 서비스: 독거노인 자동 안전 확인 IoT 시스템.,
9,서울,"디지털배움센터: 시민 대상 디지털 기초·활용 교육 및 무료 온라인강좌 제공, 정보격차 해소.",
9,서울,청소년 마음건강 지원센터 운영: 청소년 대상 정신 건강 상담·치료 무료 제공.,
9,서울,여성안심귀가 서포터스: 야간·취약지역 동행 지원 등 안전 귀가 인프라 강화.,
9,서울,"DIS(디지털·혁신·스마트) 행정플랫폼 구축: 민원·행정 스마트 자동화, 업무 효율 증대.",
9,서울,골목상권 활성화 네트워크: 소상공인 연합 마케팅·상생 자금 등 지역 상권 활성화.,
9,서울,도시농부 학교 신설: 학생·시민 대상 도시 텃밭 교육·실습 프로그램 운영.,
9,서울,온종일 돌봄센터 확대: 초등생 맞벌이가정 방과후 돌봄 인프라 확충.,
9,서울,"장애인 문화예술 공모전: 장애인 예술 창작 활동 장려, 작품 발표·수상 지원.",
10,세종,세종형 주거복지센터: 지역주민 대상 맞춤형 임대주택 및 주거 복지 서비스 제공.,
10,세종,"정책체험 시민참여단: 행정 업무 정책 체험, 시민 참여 확대.",
10,세종,"스마트 행정시스템: 공공 업무 전자화, 민원 처리 자동화.",
10,세종,"보행자 중심 안전교통 도시: 도로 횡단 발판 전면 확장, 어린이존 24시 스마트 감시.",
10,세종,부모교육 및 상담 지원: 아동·청소년 부모 대상 교육 프로그램.,
10,세종,농촌거점복지센터 확대: 오지마을 노인·취약계층 복지 서비스.,
10,세종,"예비창업 아카데미: 창업 전 기본 교육·실무 워크숍, 공간 등 지원.",
10,세종,마을공동체 재생사업: 빈집 리모델링과 청년·노인 가구 자립 지원으로 지역 정착 기반 마련.,
11,울산,울산,
11,울산,"울산예술창조센터: 문화 콘텐츠 제작 지원, 예술가 협력사업.",
11,울산,스마트근로환경 개선: 산업단지 대상 근무환경 개선과 산업안전사고 저감.,
11,울산,남구 친환경 전기버스 도입: 대중교통 전기·수소차 전환 확대.,
11,울산,산업재해 예방 전담센터 신설.,
11,울산,"스마트팩토리 인력양성: 4차산업 연계 직업교육, 취업연계.",
11,울산,기술창업 바우처 확대: 청년·중장년 대상 창업 초기 자금 지원.,
12,인천,친환경항만 도시계획: 저탄소·친환경 물류체계 구축을 통해 해양 오염을 줄이고 지속 가능한 해양 산업 기반 마련.,
12,인천,해양쓰레기 제로화 프로젝트: 어망·부표 등 해양 폐기물 재활용 사업으로 해양 생태계 보전.,
12,인천,"어린이 미세먼지 안전망: 학교 내 공기질 관리, 미세먼지 정보 실시간 제공.",
12,인천,"스마트 안전도시 프로젝트: CCTV·IoT 활용 실시간 범죄 예방, 재난·교통사고 스마트 모니터링 센터 운영.",
12,인천,그린스쿨 실천학교: 학교별 에너지 절약 및 환경 실천 교육으로 시민 환경 의식 고취.,
12,인천,다문화가족 적응지원센터: 외국인·다문화 가정 통합 지원사업 내 건강 상담 포함.,
13,전남,"목포 청년 창업클러스터: 신기술 창업 지원, 일자리·지역 혁신 성장.",
13,전남,순천 생태문화도시: 정원 산업과 생태 관광을 결합한 지속 가능한 환경 도시 추진.,
13,전남,여수 해양치유헬스케어: 해양 자원을 활용한 건강 관광 인프라 및 복합 의료 서비스 구축.,
13,전남,"바다환경스마트센서 실증단지: 연안·항만 미세 플라스틱 센서 설치, 데이터 실시간 제공.",
14,전북,"지역친화 K푸드 마이스터고 설립: 지역 특산물 식문화, 호텔·외식업 전문 인재 양성.",
14,전북,청년 목돈마련 자유적금: 창업·결혼·자산 형성을 위한 도 예산 청년적금 상품.,
14,전북,재생소재 산업벨트: 탄소·재생소재 중심의 신산업단지 조성으로 친환경 산업 기반 강화.,
15,제주,경찰쌤 제도: 학교 폭력 예방 및 상담 전문가 학교 배치.,
15,제주,그린에너지 자립섬: 재생 에너지 중심 에너지 자립 목표(80% 달성 추진).,
15,제주,웰니스 의료관광산업: 건강·치유·관광 복합 산업 육성.,
16,충남,"문화가치대상 최우수상: 지역 특화 문화 산업 모델, 전국 확산 사업.",
16,충남,태안 독립운동가 예술제: 독립운동가 기념 공연·예술 행사로 지역 역사 부각.,
16,충남,환경교육도시 지정: 주민 환경교육 네트워크를 구축해 탄소중립 실천 확산.,
16,충남,의료취약지 공공병원: 의료 불균형 해소 및 농촌·소도시 의료 접근성 개선.,
16,충남,"농어촌보육 여건개선 프로젝트: 농촌 어린이집 신설, 가정·농번기 맞춤 돌봄.",
16,충남,"태안 해양생물 보호구역 운영: 갯벌·서식지 조사, 해양 동식물·철새 보호 활동.",
17,충북,"일하는 기쁨 정책: 경단 여성·노인 등 틈새 일자리 확대, 사회적 역할 증대.",
17,충북,충주시 인재양성 인프라: 기업·대학 연계형 직업 훈련으로 노동 시장 맞춤 인력 양성.,
17,충북,제천 의료관광단지: 스마트헬스케어 시설 구축으로 의료 관광 중심지화.,
17,충북,"친환경 도시광장: 도심 내 녹색 휴식 공간 조성, 시민 생활 환경 개선 및 환경 복지 강화.",
